Gesp;Espece;Fam;H;F
Acmi;Achillea millefolium;Ast;Sec;Mesotrophe
Agst;Agrostis stolonifera;Poa;Humide;Mesotrophe
Aipr;Aira praecox;Poa;Sec;Acidocline
Alge;Alopecurus geniculatus;Poa;Engorge;Mesotrophe
Anod;Anthoxantum odoratum;Poa;Sec;Acidocline
Bepe;Bellis perennis;Ast;Moyen;Mesotrophe
Brho;Bromus hordaceus;Poa;Moyen;Mesotrophe
Brru;Brachythecium rutabulum;Bra;Humide;Mesotrophe
Cacu;Calliergonella cuspidata;Hyp;Engorge;Eutrophe
Chal;Chenopodium album;Che;Moyen;Eutrophe
Ciar;Cirsium arvense;Ast;Moyen;Eutrophe
Elpa;Eleocharis palustris;Cyp;Engorge;Mesotrophe
Elre;Elymus repens;Poa;Sec;Eutrophe
Emni;Empetrum nigrum;Emp;Sec;Acidocline
Hyra;Hypochaeris radiculata;Ast;Moyen;Acidocline
Juar;Juncus articulatus;Jun;Engorge;Eutrophe
Jubu;Juncus bufonius;Jun;Humide;Mesotrophe
Leau;Leontodon autumnalis;Ast;Moyen;Mesotrophe
Lope;Lolium perenne;Poa;Moyen;Eutrophe
Plla;Plantago lanceolata;Pla;Moyen;Mesotrophe
Popa;Potentilla palustris;Ros;Engorge;Mesotrophe
Popr;Poa pratensis;Poa;Moyen;Mesotrophe
Potr;Poa trivialis;Poa;Engorge;Mesotrophe
Rafl;Ranunculus flammula;Ran;Engorge;Mesotrophe
Ruac;Rumex acetosa;Pol;Moyen;Mesotrophe
Sapr;Sagina procumbens;Car;Humide;Mesotrophe
Sare;Salix repens;Sal;Engorge;Acidocline
Trpr;Trifolium pratense;Fab;Moyen;Mesotrophe
Trre;Trifolium repens;Fab;Moyen;Mesotrophe
Vila;Vicia lathyroides;Fab;Sec;Acidocline
