Pays;Nom_pays;Climat;Continent;STot;SFor;SBois;dSFor;SFpri;SFrn;SFpl;VFor;VrRes;Vr2E;Vr10E;BFor
ARG;Argentina;Aride;Amerique;5,44;4,43;4,81;-0,01;3,24;4,38;3,08;3,43;0,163104612;0,31;0,68;3,69
AUT;Austria;Tempere;Europe;3,92;3,59;2,19;0,001;2,06;3,31;3,23;3,06;0,802597403;0,69;0,93;2,81
BEN;Benin;Tropical;Afrique;4,04;3,63;3,46;-0,012;0,00;3,63;1,38;2,18;0;0,06;0,15;2,63
BGD;Bangladesh;Tropical;Asie;4,11;3,16;2,47;-0,002;2,61;2,87;2,44;1,94;0;0,26;0,5;2,25
BLR;Belarus;Froid;Europe;4,32;3,94;2,73;0,004;2,60;3,80;3,28;3,22;0,668663871;0,73;1;3,02
BTN;Bhutan;Tempere;Asie;3,58;3,44;2,64;0,004;2,62;3,37;1,36;2,71;0,2;0,48;0,79;2,66
CAF;Central African Republic;Tropical;Afrique;4,79;4,35;4,51;-0,001;3,30;4,30;0,48;3,57;0;0,04;0,09;3,69
CHE;Switzerland;Tempere;Europe;3,60;3,10;1,85;0,003;1,61;3,02;2,24;2,65;0,674208145;0,62;0,95;2,38
CHN;China;Tempere;Asie;5,97;5,32;5,02;0,011;4,07;5,07;4,90;4,20;0,410011249;0,16;0,54;4,04
CZE;Czech Republic;Tempere;Europe;3,89;3,43;0,00;0,001;1,04;1,40;3,42;2,90;0,811630847;0,76;0,95;2,82
DEU;Germany;Tempere;Europe;4,54;4,06;0,00;0;0,00;3,79;3,72;3,56;0,612066612;0,55;0,95;3,31
DZA;Algeria;Aride;Afrique;5,38;3,29;3,41;0,006;0,00;3,15;2,75;1,95;0,337078652;0,62;0,74;1,83
ESP;Spain;Tempere;Europe;4,70;4,27;3,96;0,012;0,00;4,19;3,46;3,08;0,523927393;0,28;0,81;2,96
